Model,GFLOPs,sintel-rel,sintel-delta,bonn-rel,bonn-delta, kitti-rel,kitti-delta
Original,293.65,0.3325,0.6012,0.0514,0.9722,0.0834,0.9455
SVD-60,198.95,0.4011,0.5716,0.0580,0.9670,0.1233,0.8972
W-SVD-60,198.95,0.3529,0.5932,0.0591,0.9391,0.1053,0.9183
Ours-60,198.95,0.3339,0.6012,0.0541,0.9648,0.0990,0.9251
SVD-70,183.17,0.4093,0.5647,0.0772,0.9526,0.1538,0.8181
W-SVD-70,183.17,0.3916,0.5573,0.0661,0.9284,0.1334,0.8656
Ours-70,183.17,0.3539,0.5935,0.0577,0.9670,0.1052,0.9184
SVD-80,167.39,0.4755,0.5002,0.1595,0.7739,0.2026,0.6644
W-SVD-80,167.39,0.4237,0.5262,0.0745,0.9424,0.2147,0.6243
Ours-80,167.39,0.3932,0.5703,0.0661,0.9527,0.1333,0.8661
