Model,GFLOPs,sintel-rel,sintel-delta,bonn-rel,bonn-delta, kitti-rel,kitti-delta
Original,249.70,0.2796,0.6164,0.0482,0.9736,0.0591,0.9708
SVD-60,178.67,0.2681,0.6607,0.0496,0.9752,0.0748,0.9595
W-SVD-60,178.67,0.3156,0.6134,0.0540,0.9603,0.0754,0.9538
Ours-60,178.67,0.2706,0.6335,0.0497,0.9749,0.0634,0.9661
SVD-70,166.84,0.3099,0.6278,0.0640,0.9626,0.1088,0.9231
W-SVD-70,166.84,0.3377,0.6066,0.0679,0.9131,0.0986,0.9339
Ours-70,166.84,0.2687,0.6603,0.0497,0.9752,0.0754,0.9597
SVD-80,155.00,0.3969,0.5643,0.1252,0.8183,0.1989,0.6549
W-SVD-80,155.00,0.3409,0.5902,0.0657,0.9398,0.1531,0.8027
Ours-80,155.00,0.3090,0.6272,0.0639,0.9627,0.0984,0.9341
